Sport_Name,Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
,0,3.5351891615006648,2.936980336260401,-1.3811670819578414,1.2330368596433479,0.08831256243985633,0.603267051690779,0.7831957961253169,-0.8790312132562513,-0.46641264217641326,-2.023834229208295
basketball,1,-0.20431208261991043,2.6216250023131304,-2.3032269388124393,-1.6316061351599742,0.6594321188767113,0.9817368566145048,0.2893390216020957,0.060853725828566546,0.09823592154884347,2.117321138302365
,1,0.03733408493135086,-1.0255363626173182,-0.43026129497013915,0.37478068430277617,1.7274384963610552,-0.12402395284988887,0.24289006168060112,-1.6205338441778767,-0.39305261802822977,-0.8189037139126016
golf,1,-5.789705698653551,1.026680324609082,0.6337254839553665,1.1679207657975033,2.039634674358259,1.0238218425938845,-0.16116008357771716,0.008153043582392343,-0.9139876627467017,-1.315499558583306
soccer,1,-0.6489301782835347,-0.32096240891763544,-0.9166967302542358,-0.7295027542008655,0.6948907197066541,-0.6946119489833402,-0.872609702266563,-0.561928422506045,-0.675863122571966,0.30045044129244514
fencing,0,1.4665722612136811,-0.3154782963014943,1.0512273042624027,0.9143272715258738,0.844055707747361,-2.6637225687312687,1.5680312082301398,0.9886542438961379,1.0843732659502543,2.298776079154946
,0,4.194369867398027,-0.8335233968652564,-0.8975069600537252,1.21851695754747,-1.438607791220422,1.3826598359986426,1.111428121887248,-0.6318537863752032,-0.20157340260299325,-0.36946075955620084
basketball,0,6.167760237491374,1.662681297310647,0.35059508060131106,-0.6448436455058993,-0.43449322030515947,-1.2915726975649313,1.2175321439017583,0.9958859477513301,0.5450030054148837,1.7171490792360713
,0,2.68855884617994,-1.0285938032335697,2.5334916084009813,-1.4877334635788537,-1.9059690970604366,-0.4383502936905491,-0.033484752463670525,1.6046271002919401,0.0624870445868779,-0.1600562707503526
,0,5.917419893991338,-0.6495616974151704,-1.84555743538006,-0.35408503539539743,-0.013915935555155178,-0.25399138602082283,0.36268165079232967,-0.8051623685606922,-0.8271796669761458,0.7813096627368005
gymnast,1,-0.3806394661708264,2.0066145676939127,-1.4305211992240388,-0.7009270224812374,-1.3929474923822132,-2.215092115010554,1.3143084480013238,-1.8813269787866966,0.2463654300391625,-1.7425231599449942
football,1,-0.24536462132314585,3.2190564309639145,3.3040515512528676,0.558685799874948,1.4512371643077846,-0.2595394156090811,-0.10751118354028101,-1.9790133837482913,-0.7210068293360211,-0.16942011831970666
soccer,0,0.8111594656420756,-1.697505861761687,-0.9277356158409882,-0.8204233429204397,-0.23353332362325904,-0.8655741534830522,0.815144580772626,0.15139222720119264,-1.1686385521630498,0.341186445431122
,1,-2.77766525247951,0.08541363889936933,-0.4343322935823557,-0.2653283280783956,0.6569910759416804,-0.5142533319088584,-0.7679960282129374,-0.3125928910477683,0.4943038919984932,0.6829702828511854
basketball,1,-3.2707829391767103,0.7529587607635833,0.0825933037889759,0.13212515236840938,0.07898221368265053,0.8994417034683889,2.6036168908039317,-1.1102625194943865,1.381324586975221,-0.5331731157180778
field hockey,1,-0.2251468589008161,-0.9514520562830509,-0.6137914263276422,-0.03207806857751645,0.26508410269270977,-0.5477254883609077,-1.1942983219302443,0.6020946503785835,-0.43850527830412156,0.6323546893597554
,1,0.05783531957193569,-1.2196337773538652,-0.9914541640138542,-1.0118277106087894,0.63230074471847,-0.36510816626923376,0.3119596119272767,-0.821342725662746,-0.7761762084658499,1.1791596735584582
soccer,0,0.6472681140525808,0.3628181601816345,0.6337658380799693,2.522373961667297,2.5808288875067715,-0.6547824696302627,0.23279772831123008,0.7224347563413818,-0.03489681655172643,0.3643961251819414
,1,-2.549082078327693,0.9215305698468402,0.7669683073745953,1.9661446807087728,2.587849811437885,1.997089534937971,1.9129477944141187,1.4283242467898576,0.055151595119419514,-0.8050345436628006
,0,4.54688762774498,-0.15104936697781837,-0.026673937849956822,-0.4893806583688659,-0.14996005230066622,-1.1840223141858572,-0.5046806201793632,1.963536933749398,0.424360888219117,-1.8960405520215822
track,1,-1.9508467281453445,0.5390135530857605,0.8942456943356545,-0.417635993374978,0.475635530951235,0.018733519021073106,-1.0947128289548735,-0.9652680364027859,-1.6953179659975073,0.4115454333146604
football,0,2.8677490378128123,0.7806151959503254,1.889660188102873,-1.6306606617069992,-0.24721212620692767,0.017718635958861143,-0.342118268445896,0.7100136094525945,0.15199688505811218,-1.5235524811594698
volleyball,0,4.335783755700174,-0.9130184174323926,0.42513240495850857,-2.446220817558031,1.6455374430938792,-1.3896128706993598,-1.7937472555439455,-2.2632803774813772,1.3129143866914654,-1.746060143996955
