Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
,1,-0.4588089109561551,-0.43979058918585373,-0.29050051732688986,0.06032639337013124,-0.45657468921887345,0.35993296802918184,0.18401228640127207,-0.2161913799981081
baseball,1,-0.510500524065423,-0.08062967729282719,0.08865518876713449,-0.029108630651737133,0.2516912530571317,-0.9336943075612889,-0.7601745522546975,0.1716550825472424
soccer,1,-0.7577934684190721,0.7544781605328403,0.09985611263148961,0.535582197970616,-0.22207975282820128,-0.10327706253439656,-0.3776934452740862,-0.04893501048900609
soccer,1,-0.33869369200735144,-0.788982746817227,-0.41256821409104005,-0.0478394985077612,-0.1378225704021614,-0.2971542673496238,-0.0970232966283743,-0.6475379308152482
track,1,-0.5253448659267557,-0.17814813209026664,0.3635578379256452,0.46906548254778213,-0.2964411663597455,-0.4151823278196616,0.8066507253160847,0.24717103535956944
,1,-0.46514847314988483,-0.05050564032960747,-0.9571818825319498,0.42371500087427993,-0.2554553540029364,0.2187574533789877,0.06413020832837149,0.22393228005720908
bowling,1,0.05592083538187509,-0.8925524696740907,-0.7231626709753797,-0.029861358776950786,0.10726516674743378,-0.4537491506080523,-0.13829398369462703,-0.1294956787431457
soccer,1,-0.6735001161825525,0.597909696645093,-0.5340046041904952,0.002421677635725039,-0.18203635543539087,0.309880005400743,-0.1797244216508286,-0.259654291496947
,1,-0.10302577275972108,-0.31529184370608393,-0.8525597993520277,-0.5001777722740065,0.5749781468747808,-0.5969568399630953,-0.5817585849769834,0.3972398753280718
track,1,-0.5533848972337488,0.24871753901371968,-0.6560723009546454,-0.1057442142421674,0.13671576338132116,-0.34720722997806264,-0.46076000468047495,-0.6910008423140871
,1,-0.43185045255771476,-0.4982136552037156,0.19674950589566745,0.8258012675764049,-0.656004384439844,-0.1154844050604169,0.18631325084324593,-0.020083666165115643
,0,1.411032245072696,1.1263921502566965,-0.328238743945673,0.13303073097185902,0.05111716287883303,0.47668988506660254,-0.11113629791202816,-0.3878957065450154
swim,1,-0.6787596964934499,-0.005766311567670573,0.29555349542492626,-0.5095846169327894,0.6980657225292703,0.3898463197833335,0.6880040326649084,-0.01556158177357242
,1,-0.699351453995805,0.5875060382709478,0.09223654650435184,0.2630144668279303,0.35174295113772347,-1.1264295829075095,0.17923271164701884,-0.39535687585009793
soccer,0,1.545407319744228,0.487009269989993,0.05691426452668155,-0.59756158450384,0.566782191937738,-0.5312989176706976,0.4886752441032569,-0.6899228630653246
football,1,-0.33901569441318674,-0.2352372412568164,1.076083754866052,0.032226013036603995,0.10586408691931035,0.32038701522769747,-0.30859468164474985,0.3326797011404652
swim,0,1.3884379799631046,-0.42244922151836467,0.7828412380462937,0.5696228486510696,0.5981948821257991,-0.16222577055525395,-0.29696650387520296,-0.40207245432150257
swim,1,-0.49624832875679764,-0.28461707827519944,-0.37470922751735103,-0.4383191069083082,0.7991333596646155,0.44140608047936025,-0.3712853093097085,0.9915740366790852
,1,-0.6735001161825525,0.597909696645093,-0.5340046041904952,0.002421677635725039,-0.18203635543539087,0.309880005400743,-0.1797244216508286,-0.259654291496947
tennis,1,-0.5533848972337488,0.24871753901371968,-0.6560723009546454,-0.1057442142421674,0.13671576338132116,-0.34720722997806264,-0.46076000468047495,-0.6910008423140871
,0,1.5603423998525012,-0.20233774918941466,0.1490234853508434,-0.2382905858994448,-0.8559661611017034,0.40929798980597104,0.15969090872538774,0.14216093142431577
,1,-0.48319109743484506,-0.6738534530371807,0.5714471016675495,0.7438874508418672,0.13167741621351012,0.38175083891573086,-0.04442968536386113,0.27701966533006483
,1,-0.452960902247845,0.7460053449664128,-0.2154951697598174,0.693809201100655,0.1313786452633607,-0.24217859314086132,-0.464580717686054,0.5103926294162704
basketball,1,-0.6170864919679133,-0.18798634693715144,0.1811053647879138,-0.34518277766799627,0.4429951373800577,0.7559116047776411,-0.14995770728584296,-0.10048626722962069
,1,-0.49697127301910965,-0.5371785045685247,0.05903766802376362,-0.4533486695458887,0.7617472561967698,0.09882436939883543,-0.4309932903154894,-0.5318328180467609
baseball,0,1.5032677359996192,0.14787241293082637,0.8986642450905706,0.21042090412513625,0.954857377118183,-0.14752281887044466,-0.5603741901999465,-0.4493549520868883
,0,1.856867024247916,-0.3786609540255594,-0.2908503430079918,0.1503719173194651,0.11420726758458191,-0.6189754429744576,0.9515649962712033,-0.5290909625627972
soccer,0,1.4770477977256768,0.25795317675333146,-0.8645812351949453,0.6299110525403103,-0.321969969632794,0.27371483121295304,0.27554468349922634,0.12929359294152168
,1,-0.5617451892220032,-0.06712475510334406,0.37056099046683166,-0.030608278240289832,0.038514691081491054,-0.7452005802773891,-0.6158436432095526,-0.4358868524653636
,0,1.209358036344467,0.7823987377248534,0.024303945537691524,0.04261026547785374,0.5558687352101366,0.7777902872087701,-0.203416235995109,-0.14316991772781001
,0,1.3154258052653631,-0.09988849334797847,1.3139202193952197,0.20090781609239194,0.09714385927444144,0.05683646153700517,0.8039192317363683,0.3848597644211602
cheer,1,-0.6376782494702684,0.40528600290146705,-0.022211584132660528,0.4274163060927235,0.09667236598851078,-0.7603642979132021,-0.6587290283037327,-0.4802815613061462
basketball,1,-0.7435336126963435,0.46428743789751004,0.6070768178679943,-0.08684422562719052,-0.02516684258600832,-0.45417862989289093,0.5031536797708451,0.08038438380782484
