Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Cluster_2_Label
tennis,1,-0.5975670559342874,0.1254989386402819,0.1412320295910034,-0.45560290669728964,-0.24019403034240905,-0.3250437230365571,-0.13683903655664714,-0.21525958265616463,Contact
,1,-0.6159346117635822,-0.09864508138899636,0.24648756691044993,0.46436926746764184,0.5398427385598277,-0.40957184714013684,0.9659699705286534,-0.06088808795630171,Contact
track,1,-0.6204106592802112,0.19667823624422215,-0.44074326103162215,0.07724746152210522,-0.3570453953837552,0.14841881004050508,-0.39303961903511236,0.17183496337119603,Contact
rowing,1,-0.36338208709903663,-0.33007691100189923,1.0872465903902293,0.4116847334138086,0.13351166648049717,0.5008117122693336,-0.2842395907677011,-0.08439070464342303,Contact
,1,-0.6735001161825528,0.597909696645093,0.5340046041904957,0.00242167763572436,-0.1820363554353894,-0.3098800054007445,-0.17972442165082692,-0.2596542914969466,Contact
,1,-0.45880891095615495,-0.4397905891858541,0.2905005173268886,0.060326393370128434,-0.4565746892188742,-0.3599329680291815,0.1840122864012759,-0.21619137999810834,Contact
baseball,1,-0.5105005240654237,-0.08062967729282657,-0.08865518876713212,-0.029108630651731512,0.25169125305712897,0.9336943075612825,-0.7601745522547032,0.17165508254724504,Contact
soccer,1,-0.7577934684190728,0.754478160532841,-0.09985611263148837,0.5355821979706161,-0.2220797528282029,0.10327706253439194,-0.3776934452740855,-0.0489350104890051,Contact
soccer,1,-0.3386936920073513,-0.7889827468172274,0.41256821409103983,-0.04783949850775946,-0.13782257040216297,0.2971542673496233,-0.09702329662837689,-0.6475379308152467,Contact
track,1,-0.5253448659267557,-0.17814813209026828,-0.3635578379256475,0.4690654825477785,-0.2964411663597494,0.4151823278196653,0.8066507253160865,0.24717103535956791,Contact
,1,-0.4651484731498845,-0.05050564032960764,0.9571818825319486,0.42371500087427977,-0.2554553540029365,-0.21875745337898908,0.06413020832837628,0.22393228005720855,Contact
bowling,1,0.05592083538187598,-0.8925524696740927,0.7231626709753797,-0.02986135877694756,0.1072651667474325,0.45374915060804927,-0.13829398369463156,-0.1294956787431453,Contact
soccer,1,-0.6735001161825528,0.597909696645093,0.5340046041904957,0.00242167763572436,-0.1820363554353894,-0.3098800054007445,-0.17972442165082692,-0.2596542914969466,Contact
,1,-0.1030257727597216,-0.31529184370608404,0.8525597993520286,-0.5001777722739996,0.5749781468747803,0.5969568399630901,-0.5817585849769897,0.39723987532807337,Contact
track,1,-0.5533848972337492,0.24871753901372,0.6560723009546471,-0.10574421424216326,0.1367157633813216,0.3472072299780604,-0.4607600046804797,-0.691000842314085,Contact
,1,-0.4318504525577142,-0.49821365520371574,-0.19674950589566895,0.825801267576402,-0.656004384439848,0.11548440506041477,0.18631325084324907,-0.02008366616511492,Contact
,0,1.4110322450726958,1.126392150256697,0.3282387439456729,0.13303073097185836,0.05111716287883362,-0.4766898850666037,-0.11113629791202616,-0.387895706545014,Collision
swim,1,-0.6787596964934495,-0.005766311567671887,-0.2955534954249271,-0.5095846169327904,0.6980657225292731,-0.3898463197833251,0.68800403266491,-0.015561581773575627,Contact
,1,-0.6993514539958056,0.5875060382709475,-0.09223654650435038,0.26301446682793395,0.3517429511377211,1.1264295829075117,0.1792327116470113,-0.39535687585009704,Contact
soccer,0,1.5454073197442282,0.4870092699899921,-0.056914264526681684,-0.5975615845038379,0.5667821919377376,0.5312989176707038,0.4886752441032502,-0.6899228630653236,Collision
football,1,-0.3390156944131876,-0.23523724125681486,-1.0760837548660513,0.03222601303660331,0.10586408691931062,-0.3203870152276991,-0.30859468164475307,0.33267970114046486,Contact
swim,0,1.3884379799631055,-0.42244922151836345,-0.7828412380462931,0.5696228486510738,0.5981948821257956,0.16222577055525333,-0.296966503875202,-0.4020724543215015,Collision
swim,1,-0.4962483287567974,-0.284617078275199,0.374709227517351,-0.43831910690830445,0.7991333596646186,-0.44140608047936214,-0.37128530930970416,0.9915740366790828,Contact
,1,-0.6735001161825528,0.597909696645093,0.5340046041904957,0.00242167763572436,-0.1820363554353894,-0.3098800054007445,-0.17972442165082692,-0.2596542914969466,Contact
tennis,1,-0.5533848972337492,0.24871753901372,0.6560723009546471,-0.10574421424216326,0.1367157633813216,0.3472072299780604,-0.4607600046804797,-0.691000842314085,Contact
,0,1.5603423998525012,-0.2023377491894135,-0.14902348535084406,-0.23829058589945024,-0.8559661611017019,-0.40929798980597004,0.15969090872539154,0.14216093142431582,Collision
,1,-0.48319109743484445,-0.6738534530371805,-0.5714471016675509,0.7438874508418667,0.13167741621350695,-0.3817508389157327,-0.04442968536385554,0.2770196653300637,Contact
,1,-0.4529609022478459,0.746005344966413,0.215495169759818,0.6938092011006567,0.1313786452633578,0.24217859314085438,-0.4645807176860551,0.5103926294162721,Contact
basketball,1,-0.617086491967913,-0.18798634693715113,-0.1811053647879138,-0.3451827776679959,0.4429951373800602,-0.75591160477764,-0.14995770728583965,-0.10048626722962214,Contact
,1,-0.4969712730191092,-0.5371785045685241,-0.05903766802376246,-0.4533486695458836,0.7617472561967711,-0.09882436939883513,-0.4309932903154924,-0.5318328180467606,Contact
baseball,0,1.5032677359996192,0.14787241293082792,-0.8986642450905696,0.21042090412514228,0.9548573771181806,0.14752281887044244,-0.5603741901999503,-0.44935495208688647,Collision
,0,1.8568670242479173,-0.37866095402556127,0.2908503430079891,0.15037191731946495,0.11420726758457926,0.6189754429744643,0.9515649962711985,-0.5290909625627968,Collision
soccer,0,1.4770477977256775,0.25795317675333196,0.8645812351949432,0.6299110525403092,-0.32196996963279406,-0.27371483121295287,0.27554468349923394,0.12929359294152185,Collision
,1,-0.5617451892220037,-0.06712475510334323,-0.3705609904668295,-0.03060827824028547,0.038514691081488424,0.7452005802773845,-0.6158436432095585,-0.43588685246536124,Contact
,0,1.2093580363444685,0.7823987377248534,-0.024303945537690143,0.04261026547785392,0.5558687352101402,-0.7777902872087695,-0.203416235995103,-0.14316991772781104,Collision
,0,1.3154258052653636,-0.09988849334797766,-1.3139202193952213,0.20090781609238823,0.09714385927444134,-0.05683646153699671,0.8039192317363706,0.38485976442115816,Collision
cheer,1,-0.6376782494702691,0.405286002901468,0.022211584132663095,0.42741630609272835,0.0966723659885081,0.7603642979131967,-0.6587290283037383,-0.4802815613061436,Contact
basketball,1,-0.7435336126963439,0.46428743789750915,-0.6070768178679944,-0.08684422562719223,-0.025166842586009677,0.4541786298928946,0.5031536797708438,0.08038438380782378,Contact
soccer,1,-0.27796360226665884,-0.7379079282400283,0.7110200015318828,0.19800477041264772,-0.47299932673811657,-0.1716608658603418,0.3072855814877876,0.2537154217230427,Contact
,1,-0.5730841593942089,0.0732159376975631,-0.7871918411787434,-0.23492147153417683,-0.7176069169190786,0.1600730631908194,-0.3529196475487355,0.26612068082125145,Contact
